well id,Lease Name,Well Number,Operator compnay,County,Landing Zone,Surf Lat,Surf Long,BH Lat,BH Long,Date Spud,Lateral Len (ft),Date Completed,Total Fluid (bbl),Total Proppant (lb),"Well Spacing, ft",Well Name,Fluid (bbl/ft),Prop (lb/ft),Avg PPG,"Oil EUR, Mbbl","Gas EUR, MMcf"
4.24614E+13,LHS RANCH,1701H,XTO ENERGY INC,UPTON,WCMP B,31.63144722,-101.9084278,31.61829332,-101.9041619,12/12/2013,4401,5/27/2014,3814283,4084782,,LHS RANCH 1701H,21,928,1.07,249,932
4.24614E+13,UNIVERSITY `3-19`,31H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP D,31.26765778,-101.78615,31.29651367,-101.785896,2/11/2014,9927,7/8/2014,10837923,9348000,,UNIVERSITY `3-19` 31H,26,942,0.86,,
4.24614E+13,UNIVERSITY `3-19`,32H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.26765722,-101.7860539,31.29650059,-101.7856601,3/30/2014,10167,6/28/2014,11281990,11180000,,UNIVERSITY `3-19` 32H,26,1100,0.99,,
4.24614E+13,SHACKELFORD `7`,1HB,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.62971667,-101.9162056,31.64407727,-101.9208311,1/15/2014,4571,3/16/2014,5329359,5030000,,SHACKELFORD `7` 1HB,28,1100,0.94,217,599
4.24614E+13,CVX,4136H,SM ENERGY CO,UPTON,WCMP B,31.62108651,-102.2118819,31.60624554,-102.2067297,12/9/2013,4974,2/14/2014,10458831,7758000,,CVX 4136H,50,1560,0.74,,
4.24614E+13,XBC GIDDINGS ESTATE R40,4092H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.4593287,-101.929899,31.48006973,-101.9365791,6/22/2014,7442,9/30/2014,7764886,8728000,,XBC GIDDINGS ESTATE R40 4092H,25,1173,1.12,,
4.24614E+13,MARIE,31H,COG OPERATING LLC,UPTON,WCMP A,31.44408159,-102.0589038,31.45865821,-102.0637005,1/30/2014,5074,4/9/2014,,,,MARIE 31H,,,,,
4.24614E+13,UNIVERSITY `3-19`,45H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP C,31.26653564,-101.7868489,31.23833777,-101.7868927,3/15/2014,8642,9/23/2014,9273036,9850000,,UNIVERSITY `3-19` 45H,26,1140,1.06,,
4.24614E+13,CC,3632HM,APACHE CORP,UPTON,WCMP B,31.54575,-102.0121333,31.56089966,-102.0170683,4/15/2014,5027,10/29/2014,10060100,15128000,,CC 3632HM,48,3009,1.5,,
4.24614E+13,POWELL `36`,19H,COG OPERATING LLC,UPTON,WOLFCAMP SHALE,31.5361053,-102.1250088,31.52099975,-102.1199493,2/13/2014,5080,7/29/2014,,,,POWELL `36` 19H,,,,,
