Well ID,WellName,ENVOperator,County,ENVInterval,CompletionDate,LL,Total Fluid,Total Proppant,Well Spacing,"Fluid, bbl/ft","Proppant, lb/ft",ppg,Oil EUR,Gas EUR,"Isopach, ft",Eff Porosity,Sw,TVD,FVF,toc,rock_type,clay_vol,GOR
42-461414360000,SEBASTIAN 19-18-C 4405VH,PIONEER,UPTON,WOLFCAMP B LOWER,2/23/2021,7508,377031,14905614,1460.196259,50.2,1985,0.941472206,,,377.6,0.082,0.374198136,9584.4,1.764373609,1.42455855,,0.27353959,1165.552587
42-383408540000,MARY ROSE A 1H,HIBERNIA RESOURCES III,REAGAN,WOLFCAMP B UPPER,10/27/2020,10300,809307,30866628,,78.6,2997,0.90785169,,,300.4,0.078,0.282592695,8736.8,1.635375925,2.218890078,,0.338964962,973.6362553
42-383408560000,MARY ROSE C 3H,HIBERNIA RESOURCES III,REAGAN,WOLFCAMP B UPPER,10/28/2020,10254,783124,30481026,,76.4,2973,0.926514585,,,301,0.078,0.282583278,8757,1.607711191,2.219163955,,0.339347785,931.4303035
42-227405890000,RYDER UNIT 8SH,CALLON,HOWARD,LOWER SPRABERRY,12/22/2020,8216,269177,7267138,,32.8,885,0.642421603,,,365.9,0.094,0.283110497,7161.1,1.484094715,1.554264242,,0.287057886,740.9305566
42-227406120000,PASSOW 25-24 (ALLOC-C) 3NS,LAREDO,HOWARD,LOWER SPRABERRY,11/3/2020,9937,594776,24061466,1187.743767,59.9,2421,0.962318149,,,274.3,0.061,0.222359896,6828.5,1.672365627,1.297762576,,0.26109178,1025.477351
42-317429790000,UL COTTONFLAT E 4102JM,DIAMONDBACK,MARTIN,JO MILL,1/13/2021,12963,557522,23511201,,43,1814,1.004429679,,,339.6,0.065,0.379710023,9037.3,1.424962685,1.245683986,,0.258604246,638.2120239
42-317431390000,SHAPE SHIFTER UNIT 80-85 8SH,ELEMENT PETROLEUM III,MARTIN,LOWER SPRABERRY,1/21/2021,6998,384257,16702246,,54.9,2387,1.035215543,,,398.2,0.053,0.208475744,8834.2,,1.450563167,,0.305927683,
42-317431460000,MABEE DDA E1 301MH,CONOCOPHILLIPS,MARTIN,MIDDLE SPRABERRY,3/24/2021,11443,666608,29796897,,58.3,2604,1.063464837,,,268.8,0.06,0.069951244,8689.7,,1.515360776,,0.295521874,
42-227407600000,SMOKY 10B 3HK,OVINTIV,HOWARD,WOLFCAMP A,11/25/2020,10219,645838,22378410,,63.2,2190,0.825045208,,,442,0.058,0.150583659,7466.5,1.352791665,1.6353656,,0.303040171,523.4497351
42-383409310000,TIGER B 183-168 UB 2H,RP OPERATING,REAGAN,WOLFCAMP A,5/3/2021,10102,780280,22946799,,77.2,2272,0.700715519,,,336.8,0.068,0.148851281,7228.1,,2.379110217,,0.319930327,
42-317393750000,CROSS BAR RANCH 1811MS,CONOCOPHILLIPS,MARTIN,MIDDLE SPRABERRY,3/8/2015,7233,190757,6871090,868.6834753,26.4,950,0.856782107,466,488,250.2,0.078,0.226120371,8570.1,2.180224198,1.534707388,,0.260226214,1719.482499
