Well_UID,WellPadID
42-461393020000,42-461-39302
42-383375630000,42-383-37563
42-383394790000,42-383-39479
42-461385190000,42-461-38519
42-135431970000,42-135-43197
42-383395550000,42-383-39563
42-173372050000,42-173-37205
42-235359970000,42-235-35997
42-227382570000,42-227-38257
42-235352240000,42-235-35224
42-173367250000,42-173-36721
42-383381120000,42-383-38112
42-329402360000,42-329-40236
42-317401970000,42-317-40196
42-317403140000,42-317-40314
42-105418420000,42-105-41842
42-383389920000,42-383-38993
42-329358380000,42-329-35838
42-383385490000,42-383-38474
42-329391920000,42-329-39191
42-329393660000,42-329-39365
42-317402900000,42-317-40288
42-461397870000,42-461-39701
42-235348460000,42-235-34846
42-173368450000,42-173-36844
42-173365560000,42-173-36556
42-383395950000,42-383-39595
42-383377040000,42-383-37704
42-227386050000,42-227-38606
42-235358390000,42-235-35839
42-383375670000,42-383-37567
42-461400590000,42-461-40058
42-329396330000,42-329-39633
42-461391250000,42-461-39125
42-105418460000,42-105-41782
42-173357090000,42-173-35709
42-173374700000,42-173-37467
42-317405520000,42-317-40552
42-329412850000,42-329-41023
42-329413650000,42-329-41364
42-461403510000,42-461-40352
42-461388860000,42-461-38887
42-461401130000,42-461-40114
42-235349000000,42-235-34900
42-383383290000,42-383-38327
42-383392050000,42-383-37955
42-383394600000,42-383-39097
42-317394590000,42-317-39459
42-383393330000,42-383-39328
42-105420340000,42-105-42033
42-383387020000,42-383-38702
42-105419560000,42-105-41727
42-227385420000,42-227-38542
42-461402170000,42-461-40217
42-461389100000,42-461-38909
42-105416510000,42-105-41650
42-329407030000,42-329-40703
42-235355760000,42-235-35576
42-105417910000,42-105-41789
42-461352070000,42-461-35207
42-383380900000,42-383-38090
42-329401870000,42-329-40177
42-227382600000,42-227-37667
42-383380860000,42-383-38086
42-383396050000,42-383-39604
42-105423680000,42-105-42368
42-235361780000,42-235-36178
42-329416110000,42-329-41611
42-383398610000,42-383-39860
42-329416730000,42-329-41677
42-227391450000,42-227-39145
42-383399040000,42-383-39906
42-317408740000,42-317-40854
42-227391640000,42-227-39157
42-173376630000,42-173-37664
42-461406340000,42-461-40634
42-173376820000,42-173-37684
42-329418690000,42-329-41346
42-383399670000,42-383-39967
42-227392340000,42-227-39234
42-461406800000,42-461-40680
42-317410600000,42-317-41061
42-461407090000,42-461-40708
42-329420200000,42-329-42020
42-227393760000,42-227-37592
42-329421490000,42-329-42296
42-461407420000,42-461-40741
42-329422220000,42-329-42207
42-227394460000,42-227-39446
42-329422570000,42-329-41016
42-329421050000,42-329-42105
42-329422920000,42-329-42291
42-227395270000,42-227-39539
42-461407870000,42-461-40798
42-383401910000,42-383-40189
42-383402700000,42-383-40273
42-461408770000,42-461-40877
42-317414820000,42-317-41016
42-235362930000,42-235-36293
42-383403250000,42-383-40323
42-317415590000,42-317-41559
42-329425690000,42-329-42167
42-317415750000,42-317-41574
42-317416230000,42-317-41621
42-329401840000,42-329-40184
42-329400450000,42-329-40045
42-317389380000,42-317-38938
42-235356040000,42-235-35603
42-235358230000,42-235-35823
42-105420500000,42-105-42050
42-461388780000,42-461-38878
42-235354000000,42-235-35400
42-227360490000,42-227-36049
42-235353170000,42-235-35316
42-383393640000,42-383-39365
42-105415520000,42-105-41552
42-461401540000,42-461-40156
42-329398770000,42-329-39880
42-317403200000,42-317-40318
42-235356360000,42-235-35638
42-329399790000,42-329-39979
42-317396090000,42-317-39609
42-317404650000,42-317-40466
42-329402720000,42-329-40266
42-329405150000,42-329-40513
42-329406950000,42-329-40693
42-329413330000,42-329-41333
42-317402820000,42-317-40281
42-317405940000,42-317-39618
42-383380860100,42-383-38086
42-033318000100,42-033-31800
42-383397660000,42-383-39766
42-383395770000,42-383-39574
42-235351500000,42-235-35150
42-383382910000,42-383-38291
42-329352780000,42-329-35278
42-461391070000,42-461-38702
42-445320180000,42-445-32018
42-383377770000,42-383-37777
42-383376640000,42-383-37664
42-383393930000,42-383-39393
42-235352550000,42-235-35254
42-105418690000,42-105-41869
42-105418820000,42-105-41661
42-461395830000,42-461-39583
42-383394140000,42-383-39414
42-235356350000,42-235-35634
42-461402320000,42-461-40232
42-383391170000,42-383-38815
42-383381950000,42-383-38195
42-329402110000,42-329-40211
42-105423370000,42-105-42338
42-173374740000,42-173-37472
42-173373110000,42-173-37306
42-173375200000,42-173-37520
42-173373890000,42-173-37389
42-227389060000,42-227-38235
42-235352590000,42-235-35259
42-317396920000,42-317-39692
42-329399300000,42-329-39919
42-173357610000,42-173-35761
42-461391650000,42-461-39165
42-227387890000,42-227-38789
42-227389130000,42-227-38913
42-227389230000,42-227-38923
42-317403760000,42-317-40376
42-317405320000,42-317-39618
42-329386950000,42-329-38694
42-105422080000,42-105-42208
42-173371890000,42-173-35995
42-329396510000,42-329-40517
42-329406670000,42-329-40657
42-329409480000,42-329-40845
42-329414590000,42-329-40935
42-317405080000,42-317-40510
42-329408010000,42-329-40462
42-329408020000,42-329-40462
42-329410070000,42-329-41009
42-317403980000,42-317-40399
42-317404430000,42-317-40443
42-317405480000,42-317-40548
42-329409000000,42-329-40896
42-329411190000,42-329-41119
42-329412540000,42-329-41139
42-329413450000,42-329-41339
42-383397220000,42-383-39723
42-383397450000,42-383-39747
42-461401150000,42-461-40277
42-461404370000,42-461-40438
42-461404480000,42-461-40446
42-461397680000,42-461-39768
