Well_UID,WellPadID
42-329432870000,42-329-43287
42-329433380000,42-329-43336
42-329433770000,42-329-43376
42-227401980000,42-227-40193
42-173381740000,42-173-38174
42-003481320000,42-003-48136
42-329435190000,42-329-43519
42-227402820000,42-227-40280
42-317424240000,42-317-39319
42-317424910000,42-317-42341
42-329436450000,42-329-43648
42-329436390000,42-329-43644
42-317425150000,42-317-38835
42-329437090000,42-329-43707
42-317425930000,42-317-42592
42-329437610000,42-329-43760
42-383407860000,42-383-40784
42-173382770000,42-173-38274
42-003482030000,42-003-48101
42-317427780000,42-317-42779
42-461414170000,42-461-41417
42-227406180000,42-227-40618
42-461414990000,42-461-41499
42-227406770000,42-227-40689
42-317430640000,42-317-43065
42-317431530000,42-317-38852
42-003482700000,42-003-48269
42-461415580000,42-461-40814
42-227408010000,42-227-40801
42-383409710000,42-383-40972
42-173373180000,42-173-37306
42-173374670000,42-173-37467
42-227388930000,42-227-38904
42-383386260000,42-383-38624
42-461398100000,42-461-39808
42-235348790000,42-235-34879
42-329393960000,42-329-39396
42-235353040000,42-235-35304
42-317394100000,42-317-39410
42-329393670000,42-329-39365
42-235359340000,42-235-35874
42-173363410000,42-173-36341
42-329386650000,42-329-38662
42-383380680000,42-383-37489
42-383386950000,42-383-38695
42-317392100000,42-317-39210
42-173365670000,42-173-36567
42-383389690000,42-383-38968
42-317389500000,42-317-38950
42-173361620000,42-173-36148
42-461389850000,42-461-38985
42-173368460000,42-173-36844
42-105415420000,42-105-41542
42-461345210000,42-461-34521
42-461398850000,42-461-39885
42-173372260000,42-173-37226
42-317400910000,42-317-40091
42-317392280000,42-317-39228
42-461388640000,42-461-38864
42-329403840000,42-329-39654
42-235353910000,42-235-35391
42-383376810000,42-383-37681
42-227378390000,42-227-37839
42-105423420000,42-105-42347
42-173374970000,42-173-37497
42-227387080000,42-227-38709
42-105421940000,42-105-42185
42-173367290000,42-173-36728
42-173373590000,42-173-37359
42-227388790000,42-227-38874
42-227389190000,42-227-38918
42-227387470000,42-227-38737
42-227389000000,42-227-39154
42-329401310000,42-329-40132
42-329412990000,42-329-41296
42-317404630000,42-317-40461
42-329410970000,42-329-41097
42-329411950000,42-329-41172
42-317405260000,42-317-40134
42-317406190000,42-317-40496
42-329412470000,42-329-41245
42-329412580000,42-329-41250
42-329412790000,42-329-40901
42-383396720000,42-383-39672
42-383382780000,42-383-38278
42-383385890000,42-383-38589
42-461394060000,42-461-39406
42-173363280000,42-173-36328
42-383376890000,42-383-37689
42-329393880000,42-329-39388
42-105416490000,42-105-41646
42-383393810000,42-383-39375
42-383393720000,42-383-39370
42-329397190000,42-329-39719
42-173368740000,42-173-36978
42-329395670000,42-329-39567
42-383395460000,42-383-39546
42-105416700000,42-105-41670
42-383386980000,42-383-38698
42-383393460000,42-383-39345
42-461394410000,42-461-39441
42-105421360000,42-105-41665
42-383377320000,42-383-37732
42-317392660000,42-317-39267
42-227386270000,42-227-38627
42-105419540000,42-105-41724
42-445319500001,42-445-31950
42-383388930001,42-383-38893
42-033317940100,42-033-31794
42-173373910000,42-173-37390
42-383388540000,42-383-38853
42-383364850000,42-383-36485
42-173361720000,42-173-36173
42-329394470000,42-329-38414
42-329402350000,42-329-40235
42-329388810000,42-329-38881
42-227384230000,42-227-38423
42-383386480000,42-383-38555
42-383393680000,42-383-39368
42-317401420000,42-317-40143
42-105413940000,42-105-41392
42-329406890000,42-329-40692
42-329413610000,42-329-41367
42-317406090000,42-317-40608
42-329407920000,42-329-40412
42-329409820000,42-329-34290
42-329412210000,42-329-40657
42-329414600000,42-329-40200
42-383384980000,42-383-38499
42-235350840000,42-235-35083
42-235357500000,42-235-35751
42-235359320000,42-235-35932
42-329406820000,42-329-40684
42-329413120000,42-329-41314
42-383387030000,42-383-38703
42-383390170000,42-383-38416
42-329395040000,42-329-39372
42-383392560000,42-383-39256
42-105412040000,42-105-41204
42-003474090000,42-003-47410
42-317390500000,42-317-39050
42-329396320000,42-329-39632
42-329405650000,42-329-40565
42-329406280000,42-329-40629
42-329405590000,42-329-40513
42-329409070000,42-329-40907
42-329412140000,42-329-40657
42-317405060000,42-317-40505
42-329405280000,42-329-40528
42-329407020000,42-329-40702
42-329411460000,42-329-41185
42-383395900000,42-383-39590
42-383397110000,42-383-39711
42-383385170000,42-383-38515
42-461405150000,42-461-40515
42-461403480000,42-461-40348
42-003473940000,42-003-47394
42-173374160000,42-173-37416
42-173374200000,42-173-37420
42-173374330000,42-173-37432
42-227388060000,42-227-38141
42-235361550000,42-235-36156
42-227388320000,42-227-38832
42-227389610000,42-227-38962
42-317400880000,42-317-40089
42-317405790000,42-317-40579
42-329401980000,42-329-40195
42-329411860000,42-329-41002
42-317403370000,42-317-40337
42-317403420000,42-317-40342
42-317405590000,42-317-40453
42-329408590000,42-329-40857
42-329408030000,42-329-40462
42-329410490000,42-329-38900
42-329411260000,42-329-41121
42-329412800000,42-329-40901
42-383397320000,42-383-39687
42-383396570000,42-383-39642
42-105417190000,42-105-41718
42-461401950000,42-461-40193
42-105416840000,42-105-41303
42-461401670000,42-461-40167
42-105420870000,42-105-42042
42-317399550000,42-317-39958
42-227378080000,42-227-37808
42-461401800000,42-461-40182
42-105416920000,42-105-41692
42-383394890000,42-383-39468
42-461366450000,42-461-36645
42-383391000000,42-383-38630
42-227384340000,42-227-38434
42-431334240000,42-431-33424
42-461397710000,42-461-39771
42-383385060000,42-383-38506
42-431333940000,42-431-33394
42-329396890000,42-329-39689
42-383383660000,42-383-38366
42-317394230000,42-317-38714
42-235358790000,42-235-35823
42-461389890000,42-461-38989
42-461398080000,42-461-39808
42-227386540000,42-227-38654
42-227386020000,42-227-38603
42-383387080000,42-383-38709
42-173371900000,42-173-35995
42-329391860000,42-329-39186
42-227389910000,42-227-38991
42-105422620000,42-105-42262
42-383388930000,42-383-38893
42-329404880000,42-329-39027
42-105417270000,42-105-41727
42-317413410000,42-317-41340
42-227401730001,42-227-40173
42-235364330001,42-235-36432
42-033323390100,42-033-32339
42-135401930100,42-135-40193
42-461034550100,42-461-03455
42-501340860300,42-501-34086
42-317402550000,42-317-40253
42-317400390000,42-317-40039
42-461394010000,42-461-39401
42-173365290000,42-173-36529
42-383388530000,42-383-38853
42-169341300000,42-169-34122
42-235353490000,42-235-35348
42-329402490000,42-329-40249
42-317396060000,42-317-39606
42-105422420000,42-105-42243
42-383387100000,42-383-38713
42-173359520000,42-173-35952
42-383384310000,42-383-38432
42-383387840000,42-383-38783
42-383389090000,42-383-38909
42-383393220000,42-383-39322
42-235354730000,42-235-35473
42-329395640000,42-329-39565
42-105420730000,42-105-41801
42-383393370000,42-383-39337
42-317392940000,42-317-38714
42-461387260000,42-461-38726
42-383381930000,42-383-38193
42-383383920000,42-383-38392
42-461351230000,42-461-35123
42-329391510000,42-329-39085
42-227389890000,42-227-38989
42-173375370000,42-173-37276
42-317407160000,42-317-40715
42-461405480000,42-461-40548
42-317407440000,42-317-40049
42-317407070000,42-317-40703
42-227390960000,42-227-38875
42-329416820000,42-329-41679
42-461406080000,42-461-40608
42-329417410000,42-329-41741
42-227391530000,42-227-38870
42-173376580000,42-173-37661
42-329418070000,42-329-41807
42-317409810000,42-317-40957
42-317410050000,42-317-41003
42-227392740000,42-227-39274
42-317410900000,42-317-41089
42-317411020000,42-317-41102
42-461407270000,42-461-40727
42-173377730000,42-173-37773
42-173377570000,42-173-37757
42-227393890000,42-227-39389
42-329420900000,42-329-42090
42-329421580000,42-329-42158
42-383401530000,42-383-40153
42-317412810000,42-317-41279
42-329421680000,42-329-42167
42-329423150000,42-329-42345
42-227395120000,42-227-39512
42-329423680000,42-329-42367
42-317412980000,42-317-41054
42-317413500000,42-317-41144
42-227395640000,42-227-39563
42-383402340000,42-383-40234
42-329424510000,42-329-42449
42-329424560000,42-329-41703
42-329424170000,42-329-42416
42-317414470000,42-317-38981
42-461408850000,42-461-40885
42-329425810000,42-329-42581
42-003478320000,42-003-47832
42-235362890000,42-235-36293
42-235362920000,42-235-36292
42-317414700000,42-317-41464
42-461409240000,42-461-40923
42-317416220000,42-317-41621
42-317416170000,42-317-41615
42-227396490000,42-227-39646
42-329427350000,42-329-42728
42-329428200000,42-329-42822
42-173379670000,42-173-37968
42-317417620000,42-317-41761
42-383403910000,42-383-40226
42-329427750000,42-329-42286
42-173379740000,42-173-37947
42-329428870000,42-329-42890
42-329429050000,42-329-42905
42-227398020000,42-227-39802
42-461410060000,42-461-41006
42-317418440000,42-317-41844
42-383404110000,42-383-40411
42-461410240000,42-461-41024
42-033324960000,42-033-32460
42-461410320000,42-461-41031
42-461410460000,42-461-41048
42-461410470000,42-461-41048
42-227398990000,42-227-39898
42-227399210000,42-227-39921
42-173380380000,42-173-38036
42-235363610000,42-235-36293
42-317420160000,42-317-39844
42-227399840000,42-227-39981
42-329430850000,42-329-43082
42-383404990000,42-383-40502
42-383405380000,42-383-40537
42-173381010000,42-173-38102
42-329430580000,42-329-43058
42-227400480000,42-227-40046
42-329431190000,42-329-43121
42-317421820000,42-317-40927
42-329431690000,42-329-43169
42-317422170000,42-317-42217
42-329433390000,42-329-43339
42-317422600000,42-317-40738
42-227401250000,42-227-40120
42-227401240000,42-227-40120
42-227401730000,42-227-40173
42-317422520000,42-317-42254
42-329433210000,42-329-43321
42-461412130000,42-461-41212
42-329434510000,42-329-43449
42-329434720000,42-329-43467
42-317423550000,42-317-42357
42-329435240000,42-329-41885
42-003481370000,42-003-48119
42-383407100000,42-383-40710
42-461412870000,42-461-41288
42-329436540000,42-329-43654
42-317425060000,42-317-42506
42-317425170000,42-317-42517
42-227403650000,42-227-39075
42-227403560000,42-227-39737
42-317425500000,42-317-42550
42-235364330000,42-235-36432
42-317426150000,42-317-42627
42-317426520000,42-317-42651
42-329438230000,42-329-43823
42-317426700000,42-317-42668
42-173382530000,42-173-38250
42-227404350000,42-227-40434
42-461413630000,42-461-41361
42-329438960000,42-329-41121
42-317427270000,42-317-42730
42-227405100000,42-227-40510
42-461414060000,42-461-41406
42-317427840000,42-317-42783
42-173382960000,42-173-38292
42-329439740000,42-329-43974
42-383408390000,42-383-40841
42-445320300100,42-445-32030
42-115301850100,42-115-30185
42-461414610000,42-461-41460
42-227405460000,42-227-40439
42-461414670000,42-461-41471
42-317430160000,42-317-42146
42-329442140000,42-329-44208
42-227406630000,42-227-39112
42-227406730000,42-227-40673
42-227406940000,42-227-40724
42-329443300000,42-329-44329
42-461415560000,42-461-41555
42-003482930000,42-003-48290
42-227408000000,42-227-40801
42-227408500000,42-227-40851
42-329445260000,42-329-44521
42-383409880000,42-383-40940
42-329403780000,42-329-40378
42-461404670000,42-461-40468
42-461404150000,42-461-40415
42-461404610000,42-461-40449
42-461404530000,42-461-40453
42-227382370000,42-227-38237
42-383384460000,42-383-38446
42-329401180000,42-329-40069
42-461400720000,42-461-40072
42-235352830000,42-235-35283
42-317398150000,42-317-39815
42-227372780000,42-227-37278
42-317401290000,42-317-40168
42-105419010000,42-105-41901
42-235356070000,42-235-35607
42-003452810000,42-003-45281
42-135424270000,42-135-42427
42-227386330000,42-227-38633
42-383386540000,42-383-38654
42-329405010000,42-329-40503
42-105420540000,42-105-42054
42-235353680000,42-235-35373
42-235352940000,42-235-35294
42-235356330000,42-235-35630
42-227381360000,42-227-37722
42-105422680000,42-105-42268
42-003459990000,42-003-45281
42-461389110000,42-461-38909
42-461393330000,42-461-39333
42-329401260000,42-329-39515
42-105415510000,42-105-41550
42-461401300000,42-461-40130
42-105418230000,42-105-41823
42-329396660000,42-329-39706
42-105420330000,42-105-42033
42-173375030000,42-173-37406
42-173374600000,42-173-37458
42-461388650000,42-461-38426
42-105420900000,42-105-42089
42-105420080000,42-105-42008
42-329390880000,42-329-39088
42-235352100000,42-235-35209
42-461390390000,42-461-39039
42-383393270000,42-383-39327
42-461401910000,42-461-40191
42-003450180000,42-003-45018
42-317399560000,42-317-39958
42-235349750000,42-235-34975
42-383393390000,42-383-39339
42-383392470000,42-383-39247
42-227384540000,42-227-38455
42-383391260000,42-383-39126
42-235351640000,42-235-35164
42-461395710000,42-461-40042
42-317405140000,42-317-39356
42-329411740000,42-329-41173
42-173373670000,42-173-37367
42-173374130000,42-173-37413
42-235359170000,42-235-35917
42-383395570000,42-383-39557
42-383395990000,42-383-39144
42-317400980000,42-317-40098
42-329404560000,42-329-40443
42-329410020000,42-329-41002
42-383396930000,42-383-39693
42-383397430000,42-383-39742
42-461402770000,42-461-40277
42-173368770000,42-173-36978
42-461402620000,42-461-40245
42-383387310000,42-383-38730
42-317390430000,42-317-39043
42-329406940000,42-329-40693
42-105419660000,42-105-41966
42-105420130000,42-105-42003
42-461399680000,42-461-39968
42-461400160000,42-461-40016
42-461387040000,42-461-38704
42-383379990000,42-383-37999
42-383383340000,42-383-38337
42-383387800000,42-383-38780
42-235357020000,42-235-35702
42-383388940001,42-383-38893
42-305300690100,42-305-30069
42-317400790000,42-317-40241
42-329408450000,42-329-40845
42-383388940000,42-383-38893
42-227390260000,42-227-38709
42-033324100000,42-033-32410
42-329414900000,42-329-41486
42-317407450000,42-317-40745
42-329416080000,42-329-41608
42-461405720000,42-461-40574
42-329416230000,42-329-41623
42-329416490000,42-329-41651
42-461405940000,42-461-40446
42-317408590000,42-317-40854
42-317409110000,42-317-40909
42-329420590000,42-329-42059
42-461407500000,42-461-40749
42-329422080000,42-329-42206
42-227394600000,42-227-39460
42-235362510000,42-235-36252
42-227395140000,42-227-39512
42-227395220000,42-227-39522
42-173378610000,42-173-37861
42-383402220000,42-383-40001
42-461409220000,42-461-40917
42-317416660000,42-317-41666
42-317416770000,42-317-41684
42-227397480000,42-227-40357
42-173379640000,42-173-37527
42-329429080000,42-329-42907
42-173380050000,42-173-38006
42-317418930000,42-317-41328
42-383405300000,42-383-40531
42-227400050000,42-227-38591
42-173380980000,42-173-38100
42-329430710000,42-329-43067
42-317421310000,42-317-42130
42-383405550000,42-383-40555
42-329432220000,42-329-43217
42-173381310000,42-173-38133
42-461411570000,42-461-41157
42-173381540000,42-173-37878
42-383405960000,42-383-40594
42-461411840000,42-461-40544
42-383406470000,42-383-40647
42-227401900000,42-227-40185
42-173381750000,42-173-38172
42-329434000000,42-329-43310
42-227402450000,42-227-40245
42-317424880000,42-317-42341
42-461412990000,42-461-40711
42-329437180000,42-329-43716
42-317426100000,42-317-42609
42-383407460000,42-383-40750
42-461413420000,42-461-41340
42-227404470000,42-227-40452
42-317427150000,42-317-42722
42-461413770000,42-461-41375
42-329439270000,42-329-43927
42-317428000000,42-317-42802
42-329357200100,42-329-35720
42-383408450000,42-383-40844
42-235364510000,42-235-36451
42-317430070000,42-317-43139
42-329441620000,42-329-44163
42-317430680000,42-317-43069
42-383404910100,42-383-40491
42-003481770000,42-003-48177
42-329444720000,42-329-44461
42-461416160000,42-461-41616
42-317406940000,42-317-40669
42-329415290000,42-329-41529
42-383397960000,42-383-39794
42-329414840000,42-329-41484
42-227390480000,42-227-39048
42-317407950000,42-317-40748
42-329416590000,42-329-41661
42-317408060000,42-317-40658
42-173375820000,42-173-37532
42-317408340000,42-317-40833
42-461406120000,42-461-40611
42-461406110000,42-461-40611
42-317408870000,42-317-40887
42-317408890000,42-317-40903
42-317408520000,42-317-40854
42-227391750000,42-227-39176
42-227391740000,42-227-39176
42-173376200000,42-173-37620
42-003476020000,42-003-47602
42-329417670000,42-329-41743
42-317409300000,42-317-40930
42-383399650000,42-383-39965
42-317409470000,42-317-39664
42-329419260000,42-329-41925
42-329419210000,42-329-41921
42-383399750000,42-383-39975
42-329419510000,42-329-41949
42-105424390000,42-105-42439
42-329419400000,42-329-41939
42-329419570000,42-329-41939
42-317410350000,42-317-41038
42-329419890000,42-329-41992
42-227393390000,42-227-39457
42-173377720000,42-173-37771
42-227394130000,42-227-39413
42-329421750000,42-329-42175
42-329421970000,42-329-42197
42-317412080000,42-317-41210
42-173378080000,42-173-37819
42-227394730000,42-227-39473
42-173378290000,42-173-37520
42-227395060000,42-227-39504
42-003477670000,42-003-47767
42-329422760000,42-329-42008
42-329422850000,42-329-41390
42-329424940000,42-329-42494
42-383402570000,42-383-38216
42-317414530000,42-317-41440
42-173379100000,42-173-37907
42-033324710000,42-033-32461
42-329425800000,42-329-42576
42-383403100000,42-383-40307
42-317415270000,42-317-41530
42-383403290000,42-383-40329
42-317416180000,42-317-41615
42-461409340000,42-461-40931
42-317416700000,42-317-41672
42-235363160000,42-235-36252
42-235363170000,42-235-36252
42-317417270000,42-317-41725
42-317417470000,42-317-41747
42-227397700000,42-227-39770
42-317417770000,42-317-41775
42-317417900000,42-317-41790
42-227398010000,42-227-39800
42-317418420000,42-317-41842
42-227398250000,42-227-39825
42-227398330000,42-227-39832
42-383404430000,42-383-40442
42-461410000000,42-461-41023
42-317418740000,42-317-40579
42-329429580000,42-329-42959
42-003479450000,42-003-47942
42-317418320000,42-317-41398
42-329429490000,42-329-42286
42-317420130000,42-317-42011
42-227399550000,42-227-39960
42-329431160000,42-329-43112
42-173381000000,42-173-38100
42-329431530000,42-329-43151
42-227401030000,42-227-39792
42-329431420000,42-329-43162
42-329432550000,42-329-41874
42-227401060000,42-227-40106
42-383405990000,42-383-40597
42-235364190000,42-235-36417
42-227401440000,42-227-40145
42-329433430000,42-329-43336
42-383406240000,42-383-40625
42-461411800000,42-461-41180
42-329434080000,42-329-43409
42-227401300000,42-227-40127
42-461412220000,42-461-41218
42-317423400000,42-317-42341
42-227402160000,42-227-40216
42-317423670000,42-317-42367
42-461412510000,42-461-41257
42-317423850000,42-317-42390
42-461412470000,42-461-41247
42-173381860000,42-173-38179
42-329436220000,42-329-43624
42-461412720000,42-461-41260
42-329436320000,42-329-43644
42-227403350000,42-227-39369
42-329437280000,42-329-43728
42-317426170000,42-317-42627
42-115338010000,42-115-33801
42-329438350000,42-329-43835
42-329438340000,42-329-43835
42-317427170000,42-317-42722
42-317427280000,42-317-42730
42-227404860000,42-227-39126
42-227404890000,42-227-40489
42-227404980000,42-227-40498
42-317427790000,42-317-42779
42-227405130000,42-227-40507
42-173382850000,42-173-38188
42-329439810000,42-329-43979
42-329440050000,42-329-44005
42-227405270000,42-227-40527
42-461346490100,42-461-34649
42-317428580000,42-317-42855
42-173383060000,42-173-38305
42-329441250000,42-329-44225
42-329441940000,42-329-44191
42-317431070000,42-317-43106
42-317431470000,42-317-43146
42-317431670000,42-317-43168
42-329443840000,42-329-44382
42-329443990000,42-329-44397
42-003482720000,42-003-48269
42-227397330100,42-227-39116
42-003482850000,42-003-48284
42-317431980000,42-317-42557
42-317432000000,42-317-42557
42-317432070000,42-317-42573
42-329444790000,42-329-44476
42-227408820000,42-227-40843
42-329445580000,42-329-44562
42-227409060000,42-227-40906
42-383409470000,42-383-40950
42-461391570000,42-461-39159
42-383384810000,42-383-38481
42-235355070000,42-235-35504
42-383388850001,42-383-38885
42-235364290001,42-235-36432
42-317405490000,42-317-40548
42-329397440000,42-329-41353
42-329407090000,42-329-40709
42-317401300000,42-317-40130
42-329397470000,42-329-41353
42-329410900000,42-329-41090
42-329411900000,42-329-41172
42-329404100000,42-329-40269
42-329407910000,42-329-40412
42-329409230000,42-329-40922
42-461404050000,42-461-40405
42-461401790001,42-461-40182
42-317404160001,42-317-40415
42-445319010200,42-445-31901
42-003470610000,42-003-45312
42-461401700000,42-461-40172
42-461403020000,42-461-40302
42-461403250000,42-461-39535
42-317398230000,42-317-39728
42-461393420000,42-461-39342
42-235358250000,42-235-35966
42-383390230000,42-383-38993
42-317395480000,42-317-39548
42-235345850000,42-235-34585
42-329393180000,42-329-39317
42-329353700000,42-329-35370
42-383382940000,42-383-38295
42-235351830000,42-235-35182
42-105421400000,42-105-42140
42-461394830000,42-461-39478
42-461390910000,42-461-39090
42-317390450000,42-317-39045
42-235347730000,42-235-34773
42-383384520000,42-383-37669
42-105418720000,42-105-41632
42-105423110000,42-105-42311
42-383390880000,42-383-39085
42-235359880000,42-235-35987
42-461401570000,42-461-40156
42-461393610000,42-461-39362
42-105420290000,42-105-42027
42-383390390000,42-383-39039
42-173366160000,42-173-36616
42-235348890000,42-235-34889
42-383389410000,42-383-38730
42-383383550000,42-383-38353
42-383393430000,42-383-39345
42-173373200000,42-173-37165
42-317397170000,42-317-39713
42-235360540000,42-235-35951
42-235356200000,42-235-35619
42-105419160000,42-105-41916
42-173366080000,42-173-36608
42-235351970000,42-235-35197
42-329402070000,42-329-40206
42-461389510000,42-461-38951
42-383391090000,42-383-39109
42-317392000000,42-317-38835
42-317396980000,42-317-39699
42-461393310000,42-461-39330
42-383385210000,42-383-38520
42-383376940000,42-383-37694
42-329402000000,42-329-40200
42-461380860000,42-461-38086
42-329391360000,42-329-38377
42-461343710000,42-461-34371
42-235353010000,42-235-35301
42-235348840000,42-235-34885
42-329391050000,42-329-39105
42-383384170000,42-383-38416
42-329414700000,42-329-41467
42-227390250000,42-227-38709
42-383398110000,42-383-39811
42-329415100000,42-329-41509
42-317407410000,42-317-40049
42-317407340000,42-317-40733
42-115337460000,42-115-33746
42-173375750000,42-173-37576
42-329416100000,42-329-39023
42-329416700000,42-329-41670
42-317407930000,42-317-40793
42-317408470000,42-317-40846
42-431335080000,42-431-33508
42-227391730000,42-227-39171
42-317408940000,42-317-40894
42-227391680000,42-227-38870
42-329418030000,42-329-41809
42-329418200000,42-329-41979
42-329417870000,42-329-41467
42-329418370000,42-329-41836
42-329418780000,42-329-41877
42-461406500000,42-461-40647
42-329418890000,42-329-41893
42-329419290000,42-329-41928
42-329418830000,42-329-41885
42-317410290000,42-317-41028
42-317410440000,42-317-41044
42-227393480000,42-227-39348
42-317410890000,42-317-41089
42-329420480000,42-329-42006
42-317410690000,42-317-41068
42-173377560000,42-173-37736
42-383400670000,42-383-39953
42-317411740000,42-317-41174
42-329422040000,42-329-42204
42-329422530000,42-329-41272
42-033324470000,42-033-32447
42-227394790000,42-227-39492
42-317412730000,42-317-41273
42-033324500000,42-033-32450
42-329423400000,42-329-42385
42-317413030000,42-317-41287
42-329423320000,42-329-42331
42-235362570000,42-235-34735
42-461407830000,42-461-40566
42-383401970000,42-383-40184
42-329424060000,42-329-42410
42-235362600000,42-235-36260
42-329424190000,42-329-42424
42-317414030000,42-317-41478
42-461408420000,42-461-40647
42-329425090000,42-329-42509
42-317414260000,42-317-41422
42-317414380000,42-317-41438
42-329425330000,42-329-40542
42-173379340000,42-173-37933
42-235362860000,42-235-36228
42-329426370000,42-329-42636
42-317415460000,42-317-41530
42-383403570000,42-383-40358
42-329427260000,42-329-42726
42-461408920000,42-461-40891
42-317416760000,42-317-41672
42-383403770000,42-383-40378
42-329428670000,42-329-42865
42-317417860000,42-317-41786
42-317418490000,42-317-41844
42-317418580000,42-317-41856
42-329429590000,42-329-42959
42-329429510000,42-329-42925
42-235363470000,42-235-36347
42-329430080000,42-329-43000
42-329430130000,42-329-43013
42-227399670000,42-227-39967
42-227399700000,42-227-39973
42-329430680000,42-329-43004
42-383405120000,42-383-40510
42-329431520000,42-329-43151
42-461410680000,42-461-40763
42-329438500000,42-329-43851
42-461411090000,42-461-41109
42-317421500000,42-317-39844
42-227400380000,42-227-40052
42-317421760000,42-317-42176
42-329432270000,42-329-43227
42-317422060000,42-317-41450
42-317421970000,42-317-42196
42-461411190000,42-461-40579
42-383405870000,42-383-40587
42-317422390000,42-317-42242
42-329432950000,42-329-43295
42-383406170000,42-383-40518
42-317422650000,42-317-42269
42-329433820000,42-329-43383
42-317422990000,42-317-42275
42-227402180000,42-227-39236
42-227402280000,42-227-40228
42-461411970000,42-461-40667
42-383406830000,42-383-40684
42-317423680000,42-317-42374
42-317423430000,42-317-41398
42-003480980000,42-003-48038
42-227402720000,42-227-40273
42-033325270000,42-033-32514
42-003481330000,42-003-48136
42-461412490000,42-461-41249
42-227402560000,42-227-40256
42-227402890000,42-227-40145
42-329436040000,42-329-43604
42-461412690000,42-461-41269
42-329436710000,42-329-39130
42-461413040000,42-461-41303
42-227403150000,42-227-39206
42-317425480000,42-317-42550
42-317425950000,42-317-42592
42-317426130000,42-317-42627
42-329437810000,42-329-43784
42-329438220000,42-329-43823
42-461413510000,42-461-41351
42-329438380000,42-329-43837
42-383408160000,42-383-40816
42-329438690000,42-329-43864
42-317427400000,42-317-42738
42-173382750000,42-173-38274
42-329439000000,42-329-43900
42-329439390000,42-329-43939
42-317428050000,42-317-42808
42-169340600100,42-169-34060
42-115303340100,42-115-30334
42-329440380000,42-329-43604
42-317428430000,42-317-42843
42-461414490000,42-461-41449
42-317428700000,42-317-42869
42-173383030000,42-173-38305
42-227405880000,42-227-40588
42-329441410000,42-329-44141
42-227406440000,42-227-40644
42-227406640000,42-227-39112
42-173383520000,42-173-38352
42-329444270000,42-329-44429
42-461415840000,42-461-41585
42-227408810000,42-227-40880
42-383409370000,42-383-40937
42-227409080000,42-227-37592
42-227409360000,42-227-40936
42-173368700000,42-173-36873
42-383393040000,42-383-39303
42-383393060000,42-383-39305
42-105418120000,42-105-41813
42-461391520000,42-461-39018
42-461347490000,42-461-34749
42-105414790000,42-105-41479
42-383386340000,42-383-38631
42-329390560000,42-329-38900
42-461362010000,42-461-36201
42-165384920000,42-165-38492
42-227389630000,42-227-38954
42-105419830000,42-105-41983
42-105414150000,42-105-41415
42-317401630000,42-317-40163
42-235347090000,42-235-34709
42-329404610000,42-329-40462
42-329400530000,42-329-40053
42-461401500000,42-461-40150
42-461390920000,42-461-39094
42-461401770000,42-461-40174
42-461389090000,42-461-38909
42-461387680000,42-461-38768
42-003472940000,42-003-47293
42-461401790000,42-461-40182
42-235359180000,42-235-35918
42-105413070000,42-105-41307
42-235353080000,42-235-35307
42-105420550000,42-105-42054
42-329344830000,42-329-02032
42-383379710000,42-383-37971
42-461402470000,42-461-40247
42-235355290000,42-235-35530
42-235355040000,42-235-35504
42-235356660000,42-235-35660
42-461400430000,42-461-40042
42-329395160000,42-329-39517
42-235353440000,42-235-35332
42-383381270000,42-383-38128
42-329391620000,42-329-39162
42-317396800000,42-317-39680
42-383393790000,42-383-39376
42-317393870000,42-317-39387
42-329401790000,42-329-40179
42-383395940000,42-383-39594
42-105419360000,42-105-41937
42-105419190000,42-105-41919
42-227387040000,42-227-38704
42-227389210000,42-227-38921
42-317404160000,42-317-40415
42-329413770000,42-329-41376
42-329413840000,42-329-41383
42-329390690000,42-329-39069
42-105420050000,42-105-42003
42-317394510000,42-317-38938
42-105419150000,42-105-41914
42-383387300000,42-383-38730
42-461392010000,42-461-39201
42-033322330000,42-033-32233
42-105419890000,42-105-41989
42-445318940300,42-445-31894
42-383390130000,42-383-38993
42-317402770000,42-317-40277
42-105416160000,42-105-41616
42-317398820000,42-317-39882
42-329397060000,42-329-39706
42-329402920000,42-329-39418
42-329388450000,42-329-38845
42-105420390000,42-105-42042
42-317398200000,42-317-39245
42-329389610000,42-329-38797
42-317400490000,42-317-40049
42-317397380000,42-317-39740
42-329397160000,42-329-39706
42-115337340000,42-115-33734
42-173373480000,42-173-37349
42-173373170000,42-173-37317
42-173373810000,42-173-37376
42-173374080000,42-173-37408
42-173375090000,42-173-37507
42-227387500000,42-227-38751
42-227387860000,42-227-38786
42-227388960000,42-227-38904
42-227388130000,42-227-38812
42-235361650000,42-235-36168
42-317404280000,42-317-40428
42-329411570000,42-329-40995
42-317403410000,42-317-40340
42-329414060000,42-329-41407
42-329414420000,42-329-41439
42-329409600000,42-329-40960
42-173374650000,42-173-37465
42-173374920000,42-173-37165
42-173373070000,42-173-37307
42-173374850000,42-173-36976
42-235360070000,42-235-36007
42-317403860000,42-317-40386
42-317405310000,42-317-39618
42-329404200000,42-329-40406
42-329412370000,42-329-41237
42-329412450000,42-329-41245
42-105419380000,42-105-41939
42-235358290000,42-235-35829
42-227384530000,42-227-38448
42-329396340000,42-329-39634
42-003461630000,42-003-46163
