Well_ID,TotalOrganicCarbon_WTPCT
42-317403760000,1.6811816
42-317405320000,2.025165953
42-329396510000,2.274456291
42-329406670000,1.236665311
42-329408000000,2.0832705
42-329409480000,1.517909696
42-329414590000,1.372579936
42-317405080000,2.267164453
42-329398220000,1.032125
42-329406130000,1.8668904
42-329408010000,1.449833711
42-329408020000,1.193198922
42-329409690000,2.3879242
42-329410070000,1.45212579
42-317403720000,2.1877744
42-317403980000,1.918024453
42-317404430000,1.834508139
42-317405480000,1.595345357
42-329409000000,1.947162029
42-329411190000,1.622682988
42-329412540000,1.838269059
42-329413450000,1.398340542
42-383390450000,1.8011649
42-383397220000,1.751228344
42-383397450000,1.820906735
42-461401150000,1.346422062
42-461404370000,0.905471076
42-461404480000,1.608960045
42-461397680000,2.083879742
42-461402530000,0.943414816
42-461404250000,1.502146657
42-105398270100,1.61457445
42-003482280000,1.790544052
42-317429270000,2.278043
42-227406100000,1.304492295
42-329441440000,1.261447624
42-461414950000,1.697201154
42-317431180000,1.613298994
42-329443470000,0.820741523
42-317431640000,1.840748165
42-317431800000,2.123181509
42-329444350000,1.103481
42-383409180000,1.409438559
42-317432700000,1.11692964
42-329445460000,1.327609456
42-317433310000,1.3883398
42-227408990000,2.2410561
42-461416530000,0.9166318
42-227409190000,1.344376105
42-227409480000,1.8811684
42-461418420000,0.73306316
42-329450000000,1.7612638
42-329450670000,2.61506
42-329450770000,1.5693482
42-227412450000,2.1135576
42-461391600000,1.59384295
42-329389970000,2.197889187
42-329406610000,1.43167731
42-383387130000,1.670206347
42-105414630000,2.0662231
42-329407220000,1.657502039
42-461397620000,1.979615357
42-173368560000,2.1112092
42-383378070000,2.012101353
42-329407080000,1.403399594
42-003470670000,1.885250793
42-329401840000,1.31775365
42-329400450000,2.075010436
42-317389380000,2.324687325
42-235356040000,1.461014947
42-235358230000,2.4014993
42-105420500000,1.266992985
42-461388780000,1.385586738
42-235354000000,1.262254753
42-227360490000,1.066578043
42-235353170000,2.177667578
42-383393640000,2.174830642
42-105415520000,2.106253161
42-461401540000,2.324028359
42-329398770000,1.239093075
42-317403200000,1.613245533
42-105418690000,1.678254312
42-105418820000,2.160342728
42-461395830000,2.117486476
42-383394140000,1.855418317
42-235356350000,2.320773921
42-461402320000,1.321099644
42-383391170000,1.932883467
42-383381950000,2.157353039
42-329402110000,1.504090814
42-383397950000,0.944550015
42-173373740000,1.683457805
42-235358780000,1.659469911
42-383398020000,2.249144245
42-329414930000,2.140077833
42-003474900000,1.300203039
42-329415190000,1.4042559
42-227390050000,1.898554138
42-173375360000,2.290656929
42-317407100000,1.710525526
42-329415540000,1.611049888
42-003475160000,1.452823853
42-329415670000,1.8065152
42-329415660000,1.730780567
42-317407030000,1.54220963
42-173375650000,2.379176308
42-329416520000,1.396163736
42-227391140000,1.87254981
42-383398680000,1.963835189
42-173376030000,2.082596473
42-329417400000,2.060964714
42-003475680000,1.964251186
42-461406140000,1.475680224
42-227391870000,1.547229776
42-003476040000,1.614976293
42-317409400000,2.3245984
42-173376890000,1.2907972
42-461406430000,1.940614767
42-329419250000,1.737194835
42-173377070000,1.71596145
42-383399780000,2.373055695
42-329419360000,1.575894482
42-329419560000,1.225859513
42-173377180000,2.619582492
42-317409210000,1.248499684
42-383399630000,1.9391751
42-235362150000,1.68665969
42-173377020000,1.784790026
42-317409960000,1.482414494
42-461406930000,1.758510935
42-329419660000,1.79561039
42-227393360000,2.48087654
42-329420630000,1.331875335
42-317411180000,2.128145309
42-227393750000,2.540971593
42-235362360000,1.697109729
42-227394490000,0.795286336
42-383401290000,2.390167773
42-317412500000,1.968064233
42-329422770000,1.193588716
42-383401490000,1.826369852
42-383401600000,1.9778198
42-329422990000,1.2681956
42-383401550000,1.831278961
42-317413510000,1.760932514
42-227395610000,1.687299395
42-329423960000,2.169687581
42-317414090000,2.104996543
42-383402040000,2.0816362
42-461408060000,1.6408312
42-383402550000,1.660752
42-227395190000,1.949567
42-329425290000,1.711655976
42-317414450000,1.6565205
42-317414440000,1.639176271
42-227396340000,1.84796172
42-227396360000,1.244389557
42-235362830000,2.308428994
42-329424920000,2.044721767
42-317415390000,2.365381838
42-317415500000,1.672780643
42-235363060000,2.19729153
42-383403400000,2.266521
42-329426570000,1.324091
42-383403220000,2.202318522
42-329425730000,2.365465236
42-329427030000,1.049560575
42-329426490000,1.149070433
42-317416500000,2.399920196
42-329427180000,1.533648616
42-317416480000,1.574085592
42-317416420000,0.998515253
42-317416710000,1.864175423
42-317416980000,2.5889652
42-329427550000,2.191009904
42-329427680000,2.008123092
42-329427900000,2.487918375
42-383403690000,1.824149544
