UID,Calc_Dist
42-227406200000,557.2045278
42-461391780000,1301.219416
42-461393610000,732.7367216
42-461394600000,1726.28876
42-461394610000,1315.595088
42-461394650000,673.4497636
42-461395610000,652.5593112
42-461396310000,1269.87494
42-461396860000,871.0995025
42-461397630000,1273.069262
42-461397690000,639.7908323
42-461397870000,694.4320804
42-461398230000,1310.254514
42-461398450000,1404.869894
42-461400040000,954.3929996
42-461400570000,852.8874797
42-461401130000,955.4536612
42-461401960000,893.5268675
42-461402240000,2061.255523
42-461402340000,1944.243643
42-461402400000,1568.213439
42-461402580000,562.5636637
42-461403080000,1311.654819
42-461403090000,600.0228688
42-461403350000,858.487094
42-461403440000,977.2021327
42-461403510000,710.7243284
42-461403680000,518.5926058
42-461403790000,867.132078
42-461403880000,945.9357386
42-461403970000,792.9667605
42-461404440000,878.352649
42-461404630000,931.5177523
42-461404760000,603.0235343
42-461404800000,1046.448755
42-461404880000,345.4675743
42-461404950000,756.6320316
42-461405340000,1115.814118
42-461405350000,875.6486976
42-461405850000,684.6452183
42-461406050000,326.2908152
42-461406160000,633.6249475
42-461406430000,629.7014502
42-461406690000,1765.12836
42-461406790000,1102.795132
42-461406990000,318.1545767
42-461407300000,906.7785136
42-461408900000,2051.277077
42-461409140000,1486.841023
42-461409600000,440.6990233
42-461409640000,1405.689585
42-461409810000,2023.694949
42-461409860000,443.5666168
42-461410030000,953.5056241
42-461410090000,703.8794362
42-461410120000,1338.25577
42-461410400000,1881.380372
42-461410460000,1300.716331
42-461410590000,875.7885925
42-461410760000,1307.901043
42-461410810000,993.9537667
42-461411030000,991.8200383
42-461411110000,871.8048867
42-461411320000,848.7450425
42-461411560000,815.5498088
42-461411630000,895.3034234
42-461411760000,981.7824019
42-461389850000,886.601559
42-461391660000,1186.449912
42-461392240000,975.6108687
42-461392740000,800.9758616
42-461393000000,1121.540425
42-461394440000,1105.843013
42-461394950000,687.1143658
42-461395600000,533.6359835
42-461396360000,869.3545885
42-461397090000,1452.333316
42-461397540000,1284.098558
42-461398400000,1632.53752
42-461399050000,1289.543924
42-461399880000,1204.379332
42-461399890000,1249.746194
42-461400030000,1834.624698
42-461400250000,390.9091534
42-461400550000,1652.265031
42-461400820000,789.5755331
42-461401080000,1056.204003
42-461401190000,1457.196096
42-461401340000,1720.502631
42-461401750000,1382.405308
42-461402020000,555.4811484
42-461403770000,876.2053642
42-461404020000,882.3816518
42-461404470000,930.6837636
42-461405140000,335.6267859
42-461405200000,427.3769896
42-461405460000,991.5116027
42-461405480000,830.6232221
42-461405560000,904.5371713
42-461405650000,1240.754352
42-461405760000,708.2019527
42-461406180000,359.8858539
42-461406280000,822.1595987
42-461406290000,724.0862738
42-461406510000,1323.551923
42-461407230000,588.0453582
42-461407310000,914.0995123
42-461407770000,888.4725337
42-461407800000,860.1948397
42-461408090000,677.2242822
42-461408380000,778.2460503
42-461408440000,1028.100047
42-461408570000,878.2191653
42-461408770000,883.1583578
42-461408780000,882.8840341
42-461408800000,661.5431008
42-461409000000,670.9103813
42-461409040000,969.4986666
42-461410000000,1595.032259
42-461410260000,825.9143964
42-461410580000,883.4540603
42-461410890000,612.9660543
42-461410910000,540.3104315
42-461411600000,642.5504622
42-461411860000,463.138516
42-461412070000,399.4093683
42-461412190000,1522.566396
42-461412350000,1945.740708
42-461412550000,950.3064226
42-461412820000,669.5308238
42-461413070000,898.3176896
42-461414480000,339.6911819
42-461412760000,395.6618189
42-461412880000,340.8961934
42-461413270000,893.7011259
42-461413900000,813.7531229
42-461414000000,914.007162
42-235346660000,1738.731165
42-235348170000,1947.583056
42-235348920000,810.4371053
42-235349540000,916.9539484
42-235350090000,600.8332465
42-235350820000,918.9347456
42-235350830000,900.7618685
42-235350870000,555.8371762
42-235351210000,1271.472473
42-235351830000,874.1272602
42-235351970000,1814.917553
42-235352450000,1377.248743
42-235352780000,1434.107581
42-235352820000,810.4148398
42-235352880000,890.5474675
42-235353340000,756.7820976
42-235353460000,947.6950123
42-235354360000,846.6660135
42-235354920000,1944.796408
42-235355410100,2354.495741
42-235355840000,796.0141355
42-235355910000,999.4305742
42-235356600000,887.5870263
42-235357500000,1471.855804
42-235358280000,818.4023091
42-235358300000,1074.506811
42-235358690000,1332.463461
42-235358750000,1483.774191
42-235358920000,805.2675182
42-235359220000,1589.941929
42-235360020000,2623.275827
42-235360560000,1052.607601
42-235360810000,2360.081182
42-235361390000,2022.519752
42-235361550000,438.4262742
42-235361650000,445.7228564
42-235361800000,651.3387803
42-235361990000,2267.977135
42-235362320000,376.7392955
42-235362800000,1418.586636
42-235363240000,490.4043539
42-235363730000,1147.315701
42-235364010000,2076.506181
42-227383510000,2061.695887
42-227384930000,1418.551494
42-227386470000,1448.91116
42-227386800000,663.8895297
42-227387510000,336.2418352
42-227387570000,615.9713237
42-227388150000,710.0527842
42-227388650000,425.5449557
42-227388970000,317.6842221
42-227389960000,626.4183719
42-227390350000,596.0298556
42-227390620000,572.860127
42-227390700000,708.7282405
42-227390910000,809.3324377
42-227391070000,655.2002297
42-227391340000,497.5667986
42-227391470000,1294.146626
42-227391640000,653.6794378
42-227391730000,481.3865553
42-227391950000,626.657739
42-227392040000,660.5245638
42-227392060000,334.2201401
42-227392510000,650.950224
42-227392600000,919.9116665
42-227392770000,616.698273
42-227392790000,489.7798037
42-227393170000,993.7142894
42-227393300000,679.5290722
42-227393540000,1461.747909
42-227393670000,656.2501603
42-227394000000,792.2213349
42-227394070000,705.3122599
42-227394140000,663.2043594
42-227394530000,613.219543
42-227394550000,783.1516744
42-227394690000,626.0361039
42-227394760000,1240.642229
42-227394900000,657.6185524
42-227395170000,648.9331686
42-227395370000,395.4587058
42-227395390000,478.9558672
42-227395510000,1864.019481
42-227395540000,720.5476739
42-227395560000,2226.861561
42-227395950000,661.062834
42-227395970000,1557.945059
42-227395980000,659.5907894
42-227396910000,1215.396699
42-227397000000,559.3893432
42-227397190000,757.183263
42-227397810000,749.7510597
42-227398620000,711.3271679
42-227398720000,472.3741457
42-227399560000,633.2985573
42-227399610000,633.7309085
42-227399630000,663.6716409
42-227399710000,790.1930299
42-227399770000,1342.849221
42-227400300000,880.7274098
42-227400350000,1291.560401
42-227400580000,1338.478904
42-227400680000,954.8189546
42-227400860000,1044.619861
42-227401030000,663.3526366
42-227401070000,630.7417147
42-227401200000,434.39449
42-227401220000,516.6351879
42-227403140000,753.2868748
42-227403400000,1125.245347
42-227403590000,1022.074777
42-227403710000,980.3153153
42-227404210000,662.6929596
42-227404480000,968.6070556
42-227404770000,637.0647768
42-227404940000,905.8941032
42-227405260000,1004.302394
42-227405460000,1192.730529
42-235347050000,923.3233243
42-235348860000,1388.281759
42-235349020000,782.0032856
42-235349310000,758.9371311
42-235351360000,1381.426443
42-235351390000,1916.135087
42-235351640000,729.3753718
42-235351840000,875.3674261
42-235352300000,942.0909461
42-235352360000,1327.797706
42-235352380000,1215.138179
42-235352610000,1112.039258
42-235352930000,938.7741991
42-235355590000,805.0091295
42-235355690000,906.4863476
42-235356060000,1304.023612
42-235356070000,655.78574
42-235356200000,1319.507452
42-235356510000,2353.265356
42-235357480000,1530.158236
42-235358040000,1851.651784
42-235358290000,873.56866
42-235358380000,952.3114228
42-235358460000,1517.910297
42-235358860000,651.8259293
42-235359020000,982.3757084
42-235359230000,1522.823032
42-235359270000,599.0362336
42-235359530000,1201.886007
42-235359880000,1076.986127
42-235360860000,806.6980602
42-235361850000,637.8380578
42-235361890000,1619.076456
42-235361910000,1016.809531
42-235362070000,1408.489401
42-235362280000,758.7554688
42-235362360000,630.3169356
42-235362390000,321.4062543
42-235362440000,693.5653143
42-235362580000,436.6260311
42-235362750000,1534.561413
42-235362830000,753.5950683
42-235363080000,709.7827709
42-235363120000,1188.58582
42-235363190000,329.3174001
42-235363210000,335.7003285
42-235363610000,1067.677929
42-235363650000,703.0953139
42-235364230000,1371.541497
42-317372210000,2317.575592
42-317387650000,833.9874834
42-317390090000,882.4606247
42-317392430000,1183.914162
42-317392660000,820.0462633
42-317393370000,1536.531349
42-317393750000,868.6834753
42-317394030000,1677.200967
42-317394550000,1472.151611
42-317396060000,603.1046882
42-317396650000,1838.90374
42-317397010000,589.3019425
42-317397100000,1286.086316
42-317398910000,704.5525013
42-317400980000,947.6745541
42-317401790000,521.5188009
42-317401950000,828.6143417
42-317403340000,2337.512654
42-317403430000,1082.829932
42-317404430000,834.8491522
42-317404530000,975.095301
42-317404650000,893.0608788
42-317405110000,832.0666214
42-317405240000,322.9488583
42-317405280000,1815.405361
42-317405290000,581.8080758
42-317405800000,846.809302
42-317405960000,1409.86484
42-317406040000,327.0628392
42-317406090000,1126.935648
42-317406130000,896.8805853
42-317406460000,626.9199954
42-317406500000,1031.978294
42-317406660000,1456.685893
42-317406770000,1409.940515
42-317406780000,1439.792463
42-317406910000,905.0098318
42-317406930000,511.2491923
42-317406940000,416.2892877
42-317406960000,1064.438583
42-317407080000,515.9524349
42-317407140000,373.2494423
42-317407170000,1758.129841
42-317407460000,370.7665369
42-317407510000,520.1184363
42-317407950000,320.9254132
42-317408520000,1520.023237
42-317408540000,589.904434
42-317408910000,362.9605561
42-317409010000,623.0129574
42-317409360000,708.1345503
42-317410720000,417.8322615
42-317410840000,1091.465999
42-317411160000,335.2260328
42-317411170000,812.5573261
42-317411250000,704.9940791
42-317411400000,640.2314544
42-317411470000,702.0726503
42-317412050000,1253.472548
42-317412070000,647.1174558
42-317412100000,478.6214032
42-317412130000,515.024049
42-317412170000,665.274114
42-317412540000,336.5034941
42-317412940000,1448.900801
42-317413040000,329.3273866
42-317413150000,657.3241743
42-317413560000,535.4225321
42-317414390000,2398.914757
42-317414400000,461.7600392
42-317414640000,982.7333487
42-317414660000,752.6821919
42-317414900000,618.9340732
42-317415340000,1828.686922
42-317415420000,804.4784327
42-317415500000,1273.949505
42-317415580000,621.0826273
42-317415630000,652.2734809
42-317415880000,336.7379954
42-317415960000,1539.143651
42-317416070000,690.9202877
42-317416140000,483.7683089
42-317416930000,658.7072657
42-317417020000,343.8327947
42-317417410000,1336.353614
42-317417520000,1103.164069
42-317417750000,1019.814381
42-317418740000,927.6359744
42-317419080000,770.2719426
42-317419280000,892.6334669
42-317419340000,382.2159106
42-317419370000,515.7801878
42-317419400000,664.8740423
42-317419460000,1434.572525
42-317419470000,1087.8881
42-317420090000,866.6438572
42-317420110000,616.9302369
42-317420170000,763.2656055
42-317420220000,797.8705157
42-317420790000,318.9263094
42-317420840000,330.1853962
42-317420950000,1277.660209
42-317421010000,786.032707
42-317421170000,920.8254845
42-317422030000,989.5933338
42-317422110000,883.7789233
42-317422270000,727.267579
42-317422340000,761.3045026
42-317422550000,316.2453359
42-317422810000,906.742274
42-317423750000,326.7417574
42-317423990000,355.3062874
42-317424010000,357.5054388
42-317425430000,1341.028006
42-317425890000,639.5031616
42-317425970000,903.6327578
42-317426080000,799.1475849
42-317427560000,845.2655961
42-317427570000,937.2914098
42-329358330100,1370.906784
42-329383770000,891.0686119
42-329385000000,663.324726
42-329386930000,693.9297694
42-329389960000,733.4697486
42-329390190000,1114.873361
42-329390590000,768.5859769
42-329391930000,611.769253
42-329393150000,1292.744118
42-329393340000,595.5339209
42-329393970000,724.9780119
42-329394860000,1014.766446
42-329395160000,532.0889596
42-329395600000,1050.546414
42-329396000000,1328.196151
42-329398240000,830.6544488
42-329399770000,857.4690803
42-329400160000,844.8439218
42-329400270000,1290.227196
42-329400480000,900.4873655
42-329400680000,874.1470171
42-329400720000,636.312821
42-329401010000,921.2865992
42-329401520000,567.2845144
42-329402390000,744.5193964
42-329403650000,894.9172589
42-329403700000,403.2078352
42-329404400000,1197.901163
42-329404490000,1340.559923
42-329404650000,998.3046635
42-329405010000,652.3957308
42-329405190000,1684.82182
42-329405590000,943.4341001
42-329405650000,839.7110364
42-329405890000,638.1026457
42-329405920000,933.0746952
42-329405970000,667.4842905
42-329405990000,667.5826173
42-329406180000,809.6944659
42-329407080000,609.9749018
42-329407190000,714.2651563
42-329408090000,895.1082906
42-329408580000,817.2138465
42-329408650000,788.2700776
42-329408870000,771.7005739
42-329409050000,1897.594243
42-329409150000,872.5796154
42-329409500000,381.6627759
42-329409990000,379.2533439
42-329410460000,845.7522239
42-329410980000,873.8851186
42-329411150000,925.8374915
42-329411180000,694.9656921
42-329411260000,340.1315736
42-329411310000,467.3049646
42-329412360000,1663.264081
42-329412570000,979.7707277
42-329412720000,934.8686301
42-329412830000,577.7876292
42-329412880000,658.3538991
42-329413350000,760.3215781
42-329413590000,878.8557602
42-329413710000,553.8346551
42-329413760000,429.8161509
42-329414210000,920.0276977
42-329414640000,1049.085182
42-329414670000,480.8705857
42-329414700000,882.8604569
42-329414810000,937.1955965
42-329414870000,907.4229962
42-329414920000,670.2898182
42-329415040000,658.6673732
42-003469560000,868.7163507
42-003473460000,903.8499976
42-003474060000,327.8615419
42-003475290000,2052.737903
42-003476430000,1430.070995
42-003476660000,659.4848911
42-003477050000,1148.850274
42-003477190000,614.4811526
42-003477210000,598.8981041
42-003477220000,586.4210867
42-003462550000,932.6387701
42-003466850000,938.0461389
42-003469550000,868.7901916
42-003470440000,1140.29686
42-003471670000,993.5148431
42-003473780000,1047.140819
42-003473800000,946.0881915
42-003474670000,606.4657881
42-003474720000,1005.484821
42-003480280000,879.1656098
42-003480970000,880.3154494
42-003481020000,1321.874423
42-329415260000,720.7235923
42-329415410000,1325.902857
42-329415590000,1319.335115
42-329415960000,610.3992292
42-329416040000,1045.034568
42-329416350000,1284.964745
42-329416610000,534.3155274
42-329416710000,317.5048256
42-329416800000,592.7437869
42-329416840000,619.8053723
42-329416900000,557.5083248
42-329417040000,842.9839282
42-329417080000,1117.299314
42-329417120000,839.3193682
42-329417170000,1253.37069
42-329417360000,660.7466328
42-329417520000,336.3764796
42-329417540000,647.4391562
42-329417680000,2263.600161
42-329418720000,315.1036276
42-329418900000,1884.670535
42-329418940000,982.0299778
42-329419020000,605.1749812
42-329419090000,982.4538594
42-329419130000,1306.838745
42-329420220000,420.8899988
42-329420380000,868.3980864
42-329420610000,887.3437208
42-329420670000,1277.262565
42-329420900000,653.7889526
42-329421250000,1086.854787
42-329421620000,398.7768571
42-329421690000,918.3811317
42-329421890000,2454.599164
42-329422040000,397.3623976
42-329422220000,420.8431159
42-329422500000,1041.410143
42-329422590000,852.8181439
42-329423040000,1413.560286
42-329423240000,892.8582276
42-329423330000,878.5696259
42-329423440000,877.3523799
42-329423480000,837.7083719
42-329424400000,870.2176162
42-329424470000,1388.901064
42-329424700000,749.0994478
42-329424870000,655.525506
42-329424900000,968.028024
42-329425060000,612.2578633
42-329425170000,800.4249445
42-329425600000,1900.668592
42-329425660000,833.0725825
42-329425710000,891.0495272
42-329425860000,1522.511476
42-329426300000,803.2841525
42-329426380000,465.7713483
42-329426520000,835.7850131
42-329427170000,567.9772258
42-329427880000,426.5007451
42-329428450000,431.8176302
42-329428490000,648.6092775
42-329428540000,455.864512
42-329428840000,651.4200098
42-329429150000,653.8854488
42-329429200000,405.0408814
42-329429360000,893.9673809
42-329429550000,794.6718333
42-329429620000,361.6263688
42-329429980000,1534.472624
42-329430700000,834.9106046
42-329431020000,1221.376162
42-329431240000,841.6897558
42-329431370000,349.5199538
42-329431750000,487.898035
42-329431780000,640.3472233
42-329432080000,437.0859179
42-329433260000,902.8950015
42-329433350000,574.5663146
42-329433460000,699.1628057
42-329434530000,774.6684746
42-329435760000,1556.720376
42-329436040000,1291.266294
42-329436200000,522.3148531
42-329437190000,1015.338916
42-329437220000,2463.531302
42-329437720000,794.881526
42-329439490000,824.7916908
42-329439530000,631.1457885
42-329439630000,802.9134394
42-329439830000,2337.231254
42-329440100000,896.2976017
42-329441140000,1437.47714
42-317404830000,940.5431473
42-003480120000,1128.700044
42-003480980000,878.6451857
42-003481870000,943.4609816
42-033324420000,663.8218765
42-033324720000,382.7632872
42-033324820000,1440.163943
42-033324870000,657.1990573
42-033319080100,1648.519957
42-033319440100,1435.200197
42-033324800000,659.372774
42-033325000000,661.6291081
42-033325160000,1320.103441
42-033325210000,1970.25404
42-317380920000,548.3083796
42-317384650000,1746.190333
42-317389390000,973.3241395
42-317389820000,2458.134206
42-317390380000,759.1537659
42-317392460000,778.2670404
42-317394070000,885.8025484
42-317396830000,821.0539081
42-317398230000,1342.740489
42-317399550000,675.8092031
42-317400390000,650.0428962
42-317400950000,663.5952523
42-317401020000,1226.571689
42-317401230000,918.3190331
42-317401270000,630.0951371
42-317401430000,571.581961
42-317401520000,591.6967197
42-317401750000,736.2663097
42-317401960000,677.3447952
42-317402180000,1307.833822
42-317402240000,1295.08591
42-317402380000,917.7302023
42-317402630000,780.4302484
42-317402690000,650.5885645
42-317402820000,1395.348196
42-317402880000,740.2872425
42-317402970000,1178.734264
42-317403630000,884.3750668
42-317403790000,842.5764177
42-317404610000,808.9738285
42-317404920000,677.9134691
42-317404970000,808.6533497
42-317405210000,662.8502194
42-317405260000,320.5234386
42-317405450000,647.4834411
42-317405540000,325.2157321
42-317405610000,1765.165503
42-317405940000,321.2806122
42-317406080000,334.5436849
42-317406340000,319.1283183
42-317406440000,937.4258128
42-317406590000,2055.891134
42-317406980000,377.916793
42-317407000000,385.4609353
42-317407230000,419.0174312
42-317407340000,705.3064929
42-317407490000,414.4586443
42-317407500000,421.7458194
42-317407740000,604.9808093
42-317408370000,331.9994809
42-317408450000,648.1459628
42-317408550000,588.8131127
42-317408770000,405.4863007
42-317409100000,323.1616166
42-317409610000,1468.9122
42-317409810000,1195.359852
42-317410330000,1745.464569
42-317410370000,601.4148119
42-317411240000,794.087454
42-317411460000,379.3943202
42-317411790000,846.4458267
42-317412480000,724.4214674
42-317412500000,1210.560648
42-317412610000,1228.624179
42-317412670000,809.2695807
42-317412880000,1268.623712
42-317412950000,855.2477916
42-317413060000,491.7071869
42-317413290000,328.447432
42-317413470000,404.5648339
42-317413570000,742.2243045
42-317413760000,1097.486476
42-317414800000,690.7355141
42-317415070000,772.1232027
42-317416230000,786.2435779
42-317416340000,332.4204887
42-317416550000,1443.247948
42-317416840000,573.6485218
42-317417270000,466.3458186
42-317417920000,438.9191834
42-317418030000,1013.381672
42-317418260000,662.1715446
42-317418500000,1065.069901
42-317419240000,1274.88807
42-317419250000,680.2956391
42-317419410000,835.3006734
42-317419880000,666.7891388
42-317420030000,429.7798419
42-317420930000,465.3951667
42-317421130000,925.3280453
42-317421440000,830.6385984
42-317421510000,330.727902
42-317421740000,1307.07245
42-317421780000,463.9598378
42-317421820000,861.0745662
42-317422000000,333.2155049
42-317422070000,948.7063711
42-317422200000,797.8375384
42-317422790000,975.4017799
42-317423930000,555.4058428
42-317423970000,384.8002416
42-317424170000,1755.186998
42-317424250000,1302.388237
42-317424540000,2277.499339
42-317424570000,1207.602182
42-317425030000,774.5218566
42-317425220000,1921.051491
42-317425920000,639.2717288
42-317427600000,1036.099876
42-317428740000,1307.056077
42-329359690000,1526.875015
42-329386620000,920.9811568
42-329390160000,1020.234042
42-329390650000,1066.455007
42-329390680000,653.6303938
42-329390970000,1110.569797
42-329391740000,810.4587324
42-329391780000,1703.43271
42-329394130000,743.3083848
42-329394840000,798.4824156
