API_UWI,Unformatted_API_UWI_14,Latitude,Longitude,Latitude_BH,Longitude_BH
42-329-42370,4.23294E+13,31.822073,-101.950128,31.84588946,-101.9604797
42-329-42507,4.23294E+13,31.908814,-101.784434,31.93116247,-101.7874844
42-329-42523,4.23294E+13,32.0602264,-102.1489788,32.02410565,-102.1387123
42-329-42413,4.23294E+13,31.795178,-101.925614,31.76681602,-101.9147444
42-329-42518,4.23294E+13,31.72777735,-102.1648107,31.75046468,-102.1753869
42-227-39663,4.22274E+13,32.437979,-101.489613,32.46382498,-101.4953906
42-317-41518,4.23174E+13,32.375676,-101.831495,32.34668644,-101.8229845
42-329-42514,4.23294E+13,31.79139,-101.933623,31.76448087,-101.9244697
42-317-41588,4.23174E+13,32.397853,-102.115541,32.37435953,-102.109185
42-317-41439,4.23174E+13,32.452905,-101.88363,32.48141097,-101.8924005
42-317-41661,4.23174E+13,32.242368,-102.142801,32.21624032,-102.1356667
42-317-41731,4.23174E+13,32.311017,-101.854686,32.28160251,-101.8449143
42-227-39767,4.22274E+13,32.164967,-101.622356,32.15268467,-101.6185036
42-329-42843,4.23294E+13,31.88023,-102.105359,31.8560575,-102.097698
42-329-42892,4.23294E+13,31.920502,-102.235485,31.89036927,-102.2231061
42-227-39791,4.22274E+13,32.337966,-101.350171,32.35995016,-101.3601084
42-173-37987,4.21734E+13,31.706932,-101.394624,31.73378406,-101.4030935
42-461-41025,4.24614E+13,31.509293,-101.781731,31.53166222,-101.7880829
42-461-41036,4.24614E+13,31.510347,-101.779151,31.53242253,-101.7854669
42-173-38033,4.21734E+13,31.653612,-101.460679,31.63038741,-101.4525734
42-461-41050,4.24614E+13,31.512991,-101.777205,31.48371464,-101.7681548
42-227-39957,4.22274E+13,32.359198,-101.611636,32.335376,-101.6046677
42-227-39953,4.22274E+13,32.359112,-101.612008,32.33510685,-101.6064388
42-173-38062,4.21734E+13,31.783955,-101.712483,31.7968736,-101.7166635
42-461-40873,4.24614E+13,31.18350999,-101.89547,31.16111366,-101.8958292
